"canonical_path","interface","field","typescript_type","validator","canonical_line","source_authority_key","parity_evidence"
"SourceRegistryEntry.refresh_cadence","SourceRegistryEntry","refresh_cadence","""realtime"" | ""daily"" | ""weekly"" | ""manual"" | ""event_driven""","SourceRegistryEntrySchema","230","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.rate_limit_policy","SourceRegistryEntry","rate_limit_policy","string","SourceRegistryEntrySchema","231","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.schema_contract_version","SourceRegistryEntry","schema_contract_version","string","SourceRegistryEntrySchema","232","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.last_health_check_at","SourceRegistryEntry","last_health_check_at","ISODateTime | null","SourceRegistryEntrySchema","233","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.operational_status","SourceRegistryEntry","operational_status","SourceOperationalStatus","SourceRegistryEntrySchema","234","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.last_successful_retrieval","SourceRegistryEntry","last_successful_retrieval","ISODateTime | null","SourceRegistryEntrySchema","235","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.last_attempted_retrieval","SourceRegistryEntry","last_attempted_retrieval","ISODateTime | null","SourceRegistryEntrySchema","236","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.failure_reason","SourceRegistryEntry","failure_reason","string | null","SourceRegistryEntrySchema","237","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.coverage_municipalities","SourceRegistryEntry","coverage_municipalities","string[]","SourceRegistryEntrySchema","238","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.evidence_id","Evidence","evidence_id","AshID","EvidenceSchema","270","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.entity_type","Evidence","entity_type","EvidenceEntityType","EvidenceSchema","271","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.entity_id","Evidence","entity_id","AshID","EvidenceSchema","272","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.field_path","Evidence","field_path","string","EvidenceSchema","273","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.value_json","Evidence","value_json","unknown","EvidenceSchema","274","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.source_id","Evidence","source_id","string","EvidenceSchema","275","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.source_url","Evidence","source_url","string | null","EvidenceSchema","276","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.source_document_hash","Evidence","source_document_hash","string | null","EvidenceSchema","277","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.method","Evidence","method","EvidenceMethod","EvidenceSchema","278","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.captured_at","Evidence","captured_at","ISODateTime","EvidenceSchema","279","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.source_effective_date","Evidence","source_effective_date","ISODateTime | null","EvidenceSchema","280","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.confidence","Evidence","confidence","Confidence","EvidenceSchema","281","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.epistemic_state","Evidence","epistemic_state","EpistemicState","EvidenceSchema","282","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.review_state","Evidence","review_state","EvidenceReviewState","EvidenceSchema","283","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.reviewer","Evidence","reviewer","string | null","EvidenceSchema","284","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"Evidence.reviewed_at","Evidence","reviewed_at","ISODateTime | null","EvidenceSchema","285","Evidence","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.auction_item_id","AuctionItem","auction_item_id","string","AuctionItemSchema","316","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.parcel_id_raw","AuctionItem","parcel_id_raw","string | null","AuctionItemSchema","317","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.parcel_id_normalized","AuctionItem","parcel_id_normalized","string | null","AuctionItemSchema","318","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.address_raw","AuctionItem","address_raw","string | null","AuctionItemSchema","319","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.address_normalized","AuctionItem","address_normalized","string | null","AuctionItemSchema","320","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.municipality","AuctionItem","municipality","string | null","AuctionItemSchema","321","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.zip","AuctionItem","zip","string | null","AuctionItemSchema","322","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.status","AuctionItem","status","AuctionItemStatus","AuctionItemSchema","323","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.batch_id","AuctionItem","batch_id","string | null","AuctionItemSchema","324","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.auction_start_at","AuctionItem","auction_start_at","ISODateTime | null","AuctionItemSchema","325","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.minimum_bid","AuctionItem","minimum_bid","USDAmount | null","AuctionItemSchema","326","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.current_bid","AuctionItem","current_bid","USDAmount | null","AuctionItemSchema","327","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.sold_price","AuctionItem","sold_price","USDAmount | null","AuctionItemSchema","328","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.source_snapshot_id","AuctionItem","source_snapshot_id","AshID","AuctionItemSchema","329","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.source_page_reference","AuctionItem","source_page_reference","string | null","AuctionItemSchema","330","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.raw_fields","AuctionItem","raw_fields","Record<string, unknown>","AuctionItemSchema","331","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"AuctionItem.captured_at","AuctionItem","captured_at","ISODateTime","AuctionItemSchema","332","AuctionItem","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.property_id","PropertyIdentity","property_id","AshID","PropertyIdentitySchema","352","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.auction_item_ids","PropertyIdentity","auction_item_ids","string[]","PropertyIdentitySchema","353","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.parcel_id_normalized","PropertyIdentity","parcel_id_normalized","string | null","PropertyIdentitySchema","354","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.parcel_id_raw_variants","PropertyIdentity","parcel_id_raw_variants","string[]","PropertyIdentitySchema","355","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.address_normalized","PropertyIdentity","address_normalized","string | null","PropertyIdentitySchema","356","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.address_raw_variants","PropertyIdentity","address_raw_variants","string[]","PropertyIdentitySchema","357","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.municipality","PropertyIdentity","municipality","string | null","PropertyIdentitySchema","358","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.zip","PropertyIdentity","zip","string | null","PropertyIdentitySchema","359","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.gis_identifiers","PropertyIdentity","gis_identifiers","string[]","PropertyIdentitySchema","360","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.match_status","PropertyIdentity","match_status","IdentityMatchStatus","PropertyIdentitySchema","361","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.match_confidence","PropertyIdentity","match_confidence","Confidence","PropertyIdentitySchema","362","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.identity_evidence_ids","PropertyIdentity","identity_evidence_ids","AshID[]","PropertyIdentitySchema","363","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.created_at","PropertyIdentity","created_at","ISODateTime","PropertyIdentitySchema","364","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyIdentity.updated_at","PropertyIdentity","updated_at","ISODateTime","PropertyIdentitySchema","365","PropertyIdentity","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.parcel_id","ParcelAttributes","parcel_id","string","ParcelAttributesSchema","371","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.property_id","ParcelAttributes","property_id","AshID","ParcelAttributesSchema","372","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.geometry_wkt","ParcelAttributes","geometry_wkt","string | null","ParcelAttributesSchema","373","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.lot_area_sqft","ParcelAttributes","lot_area_sqft","number | null","ParcelAttributesSchema","374","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.lot_frontage_ft","ParcelAttributes","lot_frontage_ft","number | null","ParcelAttributesSchema","375","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.lot_depth_ft","ParcelAttributes","lot_depth_ft","number | null","ParcelAttributesSchema","376","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.legal_description","ParcelAttributes","legal_description","string | null","ParcelAttributesSchema","377","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.assessor_property_class","ParcelAttributes","assessor_property_class","string | null","ParcelAttributesSchema","378","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.assessed_value_land","ParcelAttributes","assessed_value_land","USDAmount | null","ParcelAttributesSchema","379","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.assessed_value_building","ParcelAttributes","assessed_value_building","USDAmount | null","ParcelAttributesSchema","380","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.assessed_value_total","ParcelAttributes","assessed_value_total","USDAmount | null","ParcelAttributesSchema","381","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.taxable_value","ParcelAttributes","taxable_value","USDAmount | null","ParcelAttributesSchema","382","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.source_id","ParcelAttributes","source_id","string","ParcelAttributesSchema","383","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.source_effective_date","ParcelAttributes","source_effective_date","ISODateTime | null","ParcelAttributesSchema","384","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"ParcelAttributes.captured_at","ParcelAttributes","captured_at","ISODateTime","ParcelAttributesSchema","385","ParcelAttributes","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.property_id","PropertyCharacteristics","property_id","AshID","PropertyCharacteristicsSchema","391","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.asset_class","PropertyCharacteristics","asset_class","AssetClass","PropertyCharacteristicsSchema","392","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.asset_class_confidence","PropertyCharacteristics","asset_class_confidence","Confidence","PropertyCharacteristicsSchema","393","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.asset_class_raw_label","PropertyCharacteristics","asset_class_raw_label","string | null","PropertyCharacteristicsSchema","394","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.structure_status","PropertyCharacteristics","structure_status","StructureStatus","PropertyCharacteristicsSchema","395","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.structure_status_signals","PropertyCharacteristics","structure_status_signals","string[]","PropertyCharacteristicsSchema","396","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.exterior_material","PropertyCharacteristics","exterior_material","string | null","PropertyCharacteristicsSchema","397","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.exterior_material_confidence","PropertyCharacteristics","exterior_material_confidence","Confidence","PropertyCharacteristicsSchema","398","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.year_built","PropertyCharacteristics","year_built","number | null","PropertyCharacteristicsSchema","399","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.total_sqft","PropertyCharacteristics","total_sqft","number | null","PropertyCharacteristicsSchema","400","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.unit_count","PropertyCharacteristics","unit_count","number | null","PropertyCharacteristicsSchema","401","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.stories","PropertyCharacteristics","stories","number | null","PropertyCharacteristicsSchema","402","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.bedrooms","PropertyCharacteristics","bedrooms","number | null","PropertyCharacteristicsSchema","403","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.bathrooms","PropertyCharacteristics","bathrooms","number | null","PropertyCharacteristicsSchema","404","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.has_basement","PropertyCharacteristics","has_basement","boolean | null","PropertyCharacteristicsSchema","405","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.has_garage","PropertyCharacteristics","has_garage","boolean | null","PropertyCharacteristicsSchema","406","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.roof_condition_known","PropertyCharacteristics","roof_condition_known","boolean","PropertyCharacteristicsSchema","407","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.foundation_condition_known","PropertyCharacteristics","foundation_condition_known","boolean","PropertyCharacteristicsSchema","408","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.occupancy_status","PropertyCharacteristics","occupancy_status","""occupied"" | ""vacant"" | ""unknown""","PropertyCharacteristicsSchema","409","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"PropertyCharacteristics.occupancy_confidence","PropertyCharacteristics","occupancy_confidence","Confidence","PropertyCharacteristicsSchema","410","PropertyCharacteristics","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.property_id","ZoningRecord","property_id","AshID","ZoningRecordSchema","416","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.zoning_district","ZoningRecord","zoning_district","string | null","ZoningRecordSchema","417","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.zoning_overlay","ZoningRecord","zoning_overlay","string | null","ZoningRecordSchema","418","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.future_land_use","ZoningRecord","future_land_use","string | null","ZoningRecordSchema","419","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.permitted_uses","ZoningRecord","permitted_uses","string[]","ZoningRecordSchema","420","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.modular_container_eligible","ZoningRecord","modular_container_eligible","boolean | null","ZoningRecordSchema","421","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.zoning_verified","ZoningRecord","zoning_verified","boolean","ZoningRecordSchema","422","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.zoning_source_id","ZoningRecord","zoning_source_id","string | null","ZoningRecordSchema","423","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.zoning_verified_at","ZoningRecord","zoning_verified_at","ISODateTime | null","ZoningRecordSchema","424","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"ZoningRecord.municipality","ZoningRecord","municipality","string","ZoningRecordSchema","425","ZoningRecord","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.property_id","EnvironmentalFlags","property_id","AshID","EnvironmentalFlagsSchema","431","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.fema_flood_zone","EnvironmentalFlags","fema_flood_zone","string | null","EnvironmentalFlagsSchema","432","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.fema_map_panel","EnvironmentalFlags","fema_map_panel","string | null","EnvironmentalFlagsSchema","433","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.fema_effective_date","EnvironmentalFlags","fema_effective_date","ISODate | null","EnvironmentalFlagsSchema","434","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.epa_facility_proximity","EnvironmentalFlags","epa_facility_proximity","boolean | null","EnvironmentalFlagsSchema","435","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.epa_facility_ids","EnvironmentalFlags","epa_facility_ids","string[]","EnvironmentalFlagsSchema","436","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.brownfield_flag","EnvironmentalFlags","brownfield_flag","boolean | null","EnvironmentalFlagsSchema","437","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.environmental_gate_required","EnvironmentalFlags","environmental_gate_required","boolean","EnvironmentalFlagsSchema","438","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.source_ids","EnvironmentalFlags","source_ids","string[]","EnvironmentalFlagsSchema","439","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"EnvironmentalFlags.captured_at","EnvironmentalFlags","captured_at","ISODateTime","EnvironmentalFlagsSchema","440","EnvironmentalFlags","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.observation_id","ImageryObservation","observation_id","AshID","ImageryObservationSchema","453","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.property_id","ImageryObservation","property_id","AshID","ImageryObservationSchema","454","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.observation_type","ImageryObservation","observation_type","""street_imagery_triage"" | ""aerial_triage"" | ""operator_drive_by""","ImageryObservationSchema","455","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.provider","ImageryObservation","provider","string","ImageryObservationSchema","456","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.capture_date_visible","ImageryObservation","capture_date_visible","ISODate | null","ImageryObservationSchema","457","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.observed","ImageryObservation","observed","string[]","ImageryObservationSchema","458","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.not_observed","ImageryObservation","not_observed","string[]","ImageryObservationSchema","459","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.confidence","ImageryObservation","confidence","Confidence","ImageryObservationSchema","460","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.human_review_required","ImageryObservation","human_review_required","boolean","ImageryObservationSchema","461","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.evidence_id","ImageryObservation","evidence_id","AshID","ImageryObservationSchema","462","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"ImageryObservation.captured_at","ImageryObservation","captured_at","ISODateTime","ImageryObservationSchema","463","ImageryObservation","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.sale_id","MarketSale","sale_id","AshID","MarketSaleSchema","469","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.parcel_id","MarketSale","parcel_id","string | null","MarketSaleSchema","470","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.address","MarketSale","address","string | null","MarketSaleSchema","471","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.municipality","MarketSale","municipality","string","MarketSaleSchema","472","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.sale_date","MarketSale","sale_date","ISODate","MarketSaleSchema","473","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.sale_price","MarketSale","sale_price","USDAmount","MarketSaleSchema","474","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.property_type","MarketSale","property_type","AssetClass | null","MarketSaleSchema","475","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.sqft","MarketSale","sqft","number | null","MarketSaleSchema","476","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.unit_count","MarketSale","unit_count","number | null","MarketSaleSchema","477","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.transaction_validity","MarketSale","transaction_validity","""arms_length"" | ""non_arms_length"" | ""unknown""","MarketSaleSchema","478","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.source_id","MarketSale","source_id","string","MarketSaleSchema","479","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.source_effective_date","MarketSale","source_effective_date","ISODateTime | null","MarketSaleSchema","480","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"MarketSale.captured_at","MarketSale","captured_at","ISODateTime","MarketSaleSchema","481","MarketSale","src/domain/__tests__/property-envelope.type-parity.ts"
"ComparableSet.comparable_set_id","ComparableSet","comparable_set_id","AshID","ComparableSetSchema","485","ComparableSet","src/domain/__tests__/property-envelope.type-parity.ts"
"ComparableSet.property_id","ComparableSet","property_id","AshID","ComparableSetSchema","486","ComparableSet","src/domain/__tests__/property-envelope.type-parity.ts"
"ComparableSet.comparables","ComparableSet","comparables","ComparableMember[]","ComparableSetSchema","487","ComparableSet","src/domain/__tests__/property-envelope.type-parity.ts"
"ComparableSet.exit_value_low","ComparableSet","exit_value_low","USDAmount | null","ComparableSetSchema","488","ComparableSet","src/domain/__tests__/property-envelope.type-parity.ts"
